#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
2578p387 file0_rs0_skip0 stages0
1169p510 file0_rs0_skip0 stages0
0999p547 file0_rs0_skip0 stages1
2775p477 file0_rs0_skip0 stages0
2718p437 file0_rs0_skip0 stages0
1086p415 file0_rs0_skip0 stages0
1938p792 file0_rs0_skip0 stages0
1465p642 file0_rs0_skip0 stages1
1177p325 file0_rs0_skip0 stages1
2765p455 file0_rs0_skip0 stages0
1139p570 file0_rs0_skip0 stages0
1073p682 file0_rs0_skip0 stages0
1114p520 file0_rs0_skip0 stages0
2854p652 file0_rs0_skip0 stages0
2850p620 file0_rs0_skip0 stages0
1195p600 file0_rs0_skip0 stages0
1119p530 file0_rs0_skip0 stages0
2765p500 file0_rs0_skip0 stages0
2840p530 file0_rs0_skip0 stages0
1086p515 file0_rs0_skip0 stages0
2800p787 file0_rs0_skip0 stages0
2884p560 file0_rs0_skip0 stages0
1532p725 file0_rs0_skip0 stages0
1071p342 file0_rs0_skip0 stages1
2770p340 file0_rs0_skip0 stages0
1541p712 file0_rs0_skip0 stages0
1086p555 file0_rs0_skip0 stages0
2833p640 file0_rs0_skip0 stages1
2872p652 file0_rs0_skip0 stages0
1069p345 file0_rs0_skip0 stages1
1243p612 file0_rs0_skip0 stages0
1279p622 file0_rs0_skip0 stages0
2860p470 file0_rs0_skip0 stages0
1136p500 file0_rs0_skip0 stages0
1057p407 file0_rs0_skip0 stages0
2810p427 file0_rs0_skip0 stages0
2885p607 file0_rs0_skip0 stages0
2898p647 file0_rs0_skip0 stages0
1048p357 file0_rs0_skip0 stages0
2882p540 file0_rs0_skip0 stages0
1021p542 file0_rs0_skip0 stages0
1035p485 file0_rs0_skip0 stages0
2794p795 file0_rs0_skip0 stages0
2930p595 file0_rs0_skip0 stages0
1091p650 file0_rs0_skip0 stages0
2838p477 file0_rs0_skip0 stages0
1494p667 file0_rs0_skip0 stages0
1094p642 file0_rs0_skip0 stages0
2799p390 file0_rs0_skip0 stages0
1324p645 file0_rs0_skip0 stages0
2526p535 file0_rs0_skip0 stages0
1101p480 file0_rs0_skip0 stages0
1494p662 file0_rs0_skip0 stages0
0975p787 file0_rs0_skip0 stages2
2812p460 file0_rs0_skip0 stages0
1111p560 file0_rs0_skip0 stages1
2806p427 file0_rs0_skip0 stages0
1097p455 file0_rs0_skip0 stages0
2885p512 file0_rs0_skip0 stages0
2940p640 file0_rs0_skip0 stages0
1128p450 file0_rs0_skip0 stages0
2876p557 file0_rs0_skip0 stages0
1088p422 file0_rs0_skip0 stages1
1079p450 file0_rs0_skip0 stages2
1123p497 file0_rs0_skip0 stages1
2903p570 file0_rs0_skip0 stages0
1000p635 file0_rs0_skip0 stages0
2891p495 file0_rs0_skip0 stages0
2889p575 file0_rs0_skip0 stages1
2691p812 file0_rs0_skip0 stages0
1054p367 file0_rs0_skip0 stages0
0928p667 file0_rs0_skip0 stages0
1609p730 file0_rs0_skip0 stages0
1086p545 file0_rs0_skip0 stages0
2829p715 file0_rs0_skip0 stages0
0988p520 file0_rs0_skip0 stages0
1117p567 file0_rs0_skip0 stages0
